query,1,2,3,4,5,6,7,8,9,10
test_quit,0.001867412,0.003607489,0.003842635,0.002959316,0.003485483,0.002991694,0.00334235,0.002656285,0.003011101,0.003794264
test_management,1.080452766,1.060605425,1.078913548,1.086768406,1.097446367,1.048402269,1.070308428,1.0490815,1.049780498,1.054192558
test_all,1.235226791,1.2347449,1.219429447,1.23147217,1.225964692,1.236070762,1.234324661,1.225075546,1.228307258,1.22089752
test_listen_1,1.257583948,1.264312538,1.224390695,1.224509675,1.258589743,1.236512042,1.23291052,1.242002081,1.223836624,1.246413401
test_listen_2,1.267845008,1.248701183,1.232719976,1.229719375,1.226763816,1.237807579,1.230682611,1.228485468,1.245197149,1.245179754
test_listen_3,1.280286552,1.260068753,1.25851167,1.258369522,1.294879016,1.235911475,1.250414591,1.253472982,1.234656373,1.255982882
test_listen_4,1.28668187,1.281839765,1.284985958,1.28824447,1.266396163,1.303478979,1.271653401,1.283555588,1.29044668,1.278306453
test_listen_5,1.293740371,1.251437139,1.233175448,1.259235139,1.221095693,1.239677779,1.257397594,1.23331576,1.247963406,1.270826641
test_listen_6,1.281620247,1.243128459,1.268559962,1.230912507,1.254661015,1.25114624,1.232376842,1.233508925,1.230613351,1.305209942
test_listen_7,1.289872289,1.228611352,1.294472343,1.343891232,1.524864238,1.314830622,1.252593521,1.297439701,1.438661527,1.309466307
test_listen_8,1.370669262,1.297180096,1.284727209,1.383093874,1.318527678,1.321647844,1.356136103,1.343894844,1.33147147,1.267161937
single_read,24.696814553,24.686026855,24.69479973,24.649257581,24.784130056,24.657481546,24.744683565,25.310140531,24.541930353,24.608437584
single_read_update,25.560866816,25.547563838,25.652730561,25.479379258,25.561118739,25.459549536,25.435480524,25.44691809,25.465827252,25.45505093
single_read_dup,34.260094034,35.027123989,34.159808487,34.136270228,34.090341964,34.25581837,34.123978479,34.108225733,34.289877325,34.206468596
single_insert_delete,20.7611834,20.847723738,20.756729728,20.768018131,20.676912843,21.681501926,21.236585203,21.719257236,21.16005556,20.577874473
few_read,21.617597567,21.307607472,21.327644148,21.302681887,21.464918939,21.490006218,21.326009974,21.485369894,21.54516846,21.48299974
few_read_update,23.322336398,22.703340655,22.737601244,22.515279871,22.483045172,22.569053626,22.722354094,22.787919639,22.491375835,22.613394636
few_read_dup,106.979521879,105.116661228,105.974529733,105.184250621,106.226957319,105.749792077,105.41723007,105.48785885,105.873028122,105.004781854
few_insert_delete,16.834953979,16.550379939,16.404515181,16.340325425,16.440686623,16.430774634,16.427268624,16.482858024,16.448129097,16.469476749
many_read,20.124562062,18.780199121,18.903661291,18.932512842,18.769029356,18.758586225,18.741875698,18.787774077,19.120535061,19.015739434
many_read_update,18.168655975,17.581346258,17.517992737,18.121181072,17.642870787,17.58890189,17.578280329,18.459909234,17.472457766,17.682538502
many_read_dup,22.253046385,21.336860109,21.334565975,21.24954323,21.300837655,21.334305578,21.194237684,21.420617554,21.349737603,21.252229151
many_insert_delete,18.04124944,17.976933983,17.900215512,17.668244389,18.511004842,17.854681865,18.406757954,17.726374895,18.624965493,17.185401128
